Date,Chevron,ConocoPhillips,ExxonMobil,Shell,BP,Halliburton,Baker Hughes,Maersk,Hapag-Lloyd
2024-12-18,137.69679260253906,92.64510345458984,101.97282409667969,58.20912170410156,26.92371940612793,25.395477294921875,39.20196533203125,7.284240245819092,74.04049682617188
2024-12-19,134.8966064453125,91.99749755859375,101.10086059570312,58.35313034057617,26.80107879638672,25.026443481445312,38.96698760986328,7.275077819824219,74.04049682617188
2024-12-20,136.5213165283203,91.93951416015625,101.44581604003906,58.218719482421875,26.98031997680664,25.220670700073242,39.476104736328125,7.284240245819092,74.04049682617188
2024-12-23,136.635986328125,93.1573715209961,101.85784912109375,58.71795654296875,27.121824264526367,25.50230598449707,39.309661865234375,7.559117317199707,74.04049682617188
2024-12-24,137.46743774414062,93.86296844482422,101.95365905761719,58.98677444458008,27.159561157226562,26.065568923950195,39.93627166748047,7.568280220031738,74.04049682617188
2024-12-26,137.6012420654297,93.65032196044922,102.0398941040039,58.90997314453125,27.21615982055664,26.026721954345703,40.024383544921875,7.61409330368042,77.43089294433594
2024-12-27,137.62034606933594,93.6793212890625,102.03031921386719,59.2267951965332,27.319929122924805,26.017011642456055,39.94606018066406,7.669068336486816,73.4961166381836
2024-12-30,136.7315673828125,93.84363555908203,101.34040069580078,59.313201904296875,27.442567825317383,26.182106018066406,40.083126068115234,7.549954891204834,76.5047836303711
2024-12-31,138.42312622070312,95.85409545898438,103.07476806640625,60.148468017578125,27.885950088500977,26.40546989440918,40.16145706176758,7.522467136383057,73.12943267822266
2025-01-02,140.21029663085938,96.7336654663086,102.82563781738281,60.58049011230469,28.234996795654297,26.929887771606445,40.69015121459961,7.806507110595703,76.89497375488281
2025-01-03,141.29978942871094,97.70989227294922,103.3526611328125,61.94379425048828,28.744413375854492,26.881332397460938,41.767127990722656,7.7606940269470215,76.89497375488281
2025-01-06,140.7359161376953,96.64667510986328,103.2376708984375,62.164608001708984,29.263267517089844,26.861909866333008,41.933570861816406,7.724043846130371,76.89497375488281
2025-01-07,142.9626922607422,98.2705078125,104.20545196533203,63.29749298095703,30.027395248413086,26.94931411743164,42.491641998291016,7.375866413116455,76.89497375488281
2025-01-08,143.6412353515625,98.22216796875,102.46151733398438,62.13581085205078,29.357603073120117,26.25008773803711,42.530799865722656,7.348378658294678,76.89497375488281
2025-01-10,146.3554229736328,98.51213836669922,102.08781433105469,62.34703063964844,29.517976760864258,26.191818237304688,42.35456848144531,6.853600025177002,70.31351470947266
2025-01-13,148.467529296875,100.74490356445312,104.72289276123047,62.36622619628906,29.451940536499023,26.99786949157715,43.89171600341797,6.652023792266846,70.31351470947266
2025-01-14,149.94883728027344,101.37316131591797,105.13491821289062,63.278297424316406,29.329303741455078,27.386329650878906,44.12668991088867,6.688673973083496,70.0549545288086
2025-01-15,151.31549072265625,101.95311737060547,106.85012817382812,63.7103271484375,29.52741050720215,28.075841903686523,44.76308059692383,6.743649005889893,70.0549545288086
2025-01-16,152.31898498535156,102.0787582397461,106.66806030273438,63.796730041503906,29.9802303314209,28.42545509338379,45.36031723022461,6.670348644256592,70.0549545288086
2025-01-17,154.31639099121094,102.31073760986328,107.62628173828125,64.05595397949219,29.89532470703125,29.037275314331055,45.565921783447266,6.487097263336182,70.0549545288086
2025-01-21,151.22947692871094,100.79322052001953,106.8117904663086,64.10395050048828,29.73495101928711,28.677953720092773,46.05545425415039,6.670348644256592,70.0549545288086
2025-01-22,149.4805450439453,99.614013671875,104.95287322998047,63.31669998168945,29.36703872680664,27.65825080871582,44.851200103759766,6.569560527801514,66.28471374511719
2025-01-23,149.0982666015625,100.51292419433594,105.54696655273438,63.99835968017578,29.706649780273438,27.1629638671875,44.70433807373047,6.597047805786133,66.28471374511719
2025-01-24,148.7542266845703,98.4251480102539,104.11922454833984,62.7790641784668,29.668914794921875,26.99786949157715,44.59663772583008,6.597047805786133,66.28471374511719
2025-01-27,150.26422119140625,99.25639343261719,105.56611633300781,62.539039611816406,29.668914794921875,26.4637393951416,42.63850021362305,6.706998825073242,66.28471374511719
2025-01-28,149.28941345214844,97.99018859863281,103.52513122558594,62.00140380859375,29.39533805847168,25.881052017211914,42.37415313720703,6.542072296142578,65.73939514160156
2025-01-29,148.79244995117188,98.16416931152344,104.12879943847656,62.19341278076172,29.36703872680664,25.609130859375,42.16854476928711,6.514585018157959,65.73939514160156
2025-01-30,149.39454650878906,98.0675277709961,104.9911880493164,63.9887580871582,29.819854736328125,25.77422523498535,43.66652297973633,6.679511070251465,65.73939514160156
2025-01-31,142.58042907714844,95.52545928955078,102.3656997680664,63.22068786621094,29.301000595092773,25.26923179626465,45.21345520019531,6.697836399078369,65.73939514160156
2025-02-03,142.72377014160156,95.18717193603516,102.61482238769531,62.567840576171875,29.121763229370117,24.773944854736328,46.407920837402344,6.5787224769592285,65.27869415283203
2025-02-04,146.43186950683594,97.2169418334961,105.3648910522461,63.969539642333984,29.848154067993164,25.57999610900879,46.956199645996094,6.881087779998779,65.27869415283203
2025-02-05,146.21206665039062,96.85931396484375,105.28823852539062,63.87354278564453,29.87645721435547,25.53143882751465,47.82757568359375,7.201777458190918,65.27869415283203
2025-02-06,145.1703643798828,96.59834289550781,103.89884185791016,63.518314361572266,30.150033950805664,24.744810104370117,45.996707916259766,7.265915393829346,68.40018463134766
2025-02-07,145.85845947265625,95.0711669921875,104.33961486816406,63.259090423583984,30.44247817993164,24.463178634643555,45.233036041259766,7.110151767730713,70.51565551757812
2025-02-10,148.86891174316406,96.15373229980469,106.33270263671875,63.48950958251953,32.4707145690918,25.230382919311523,46.4177131652832,7.311728000640869,70.51565551757812
2025-02-11,150.4649200439453,98.30915832519531,107.0034408569336,64.6895980834961,32.59335708618164,25.725669860839844,46.34884262084961,7.815669059753418,70.51565551757812
2025-02-12,148.03744506835938,95.10983276367188,103.78404998779297,64.09435272216797,32.71599578857422,25.220670700073242,45.660152435302734,7.6965556144714355,74.46453094482422
