Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,AnnualDiv,DividendYield,SMA20,SMA50,Signal
2025-04-03 00:00:00+09:00,188849.96685508735,193830.1875,187455.5050745118,193830.1875,4177747,0.0,0.0,0.0,2204.0,1.137077783614072,200762.64375,202029.7734375,-1
2025-04-04 00:00:00+09:00,187156.68572482164,188849.96068880352,177694.26680845226,181479.234375,9182017,0.0,0.0,0.0,2204.0,1.2144640171038854,200254.66171875,201413.7775,1
2025-04-07 00:00:00+09:00,167335.40351941748,172116.41504854368,164148.0625,164148.0625,7879050,0.0,0.0,0.0,2204.0,1.342690231266056,199104.23046875,200500.6403125,1
2025-04-08 00:00:00+09:00,171319.5947640118,172415.243335177,167534.6269727139,168829.484375,4965171,0.0,0.0,0.0,2204.0,1.3054591786257714,198192.85078125,199562.3740625,1
2025-04-09 00:00:00+09:00,169327.48579545456,169327.48579545456,162056.3643465909,164347.265625,8035679,0.0,0.0,0.0,2204.0,1.341062774374954,196504.55625,198386.01625,1
2025-04-10 00:00:00+09:00,188949.55179619268,189148.76060146015,179287.9247407205,182475.265625,7836984,0.0,0.0,0.0,2204.0,1.2078349317377517,195682.81953125,197690.97625,1
2025-04-11 00:00:00+09:00,177096.6488177544,181080.82539408185,175403.37377281525,180084.78125,3223735,0.0,0.0,0.0,2204.0,1.2238679941201305,194502.5078125,196918.4375,1
2025-04-14 00:00:00+09:00,182176.45960217813,183670.52570061042,177295.84368063262,179487.140625,3466194,0.0,0.0,0.0,1904.0,1.0608002296821926,193217.6109375,196565.43125,-1
2025-04-15 00:00:00+09:00,179487.1448643411,181678.44186046513,178989.12281976745,179885.5625,1915455,0.0,0.0,0.0,1904.0,1.0584507025126044,192102.0421875,196384.6746875,-1
2025-04-16 00:00:00+09:00,175801.76625359195,176797.81025502874,172813.6342492816,173311.65625,2933428,0.0,0.0,0.0,1904.0,1.0985989293492773,190533.271875,196068.4815625,-1
2025-04-17 00:00:00+09:00,171419.17547321427,174706.12073214285,171120.36226785713,174307.703125,2989493,0.0,0.0,0.0,1904.0,1.0923212031740206,188790.19453125,195619.80375,-1
2025-04-18 00:00:00+09:00,173311.65910714286,174805.72513392856,172116.40628571427,174307.703125,1305152,0.0,0.0,0.0,1904.0,1.0923212031740206,186773.2046875,195078.0996875,-1
2025-04-21 00:00:00+09:00,174108.49575311437,179287.92468856173,173809.6825453001,175901.375,1877473,0.0,0.0,0.0,1904.0,1.0824247394314002,185035.10703125,194578.1653125,-1
2025-04-22 00:00:00+09:00,174307.7059659091,174805.72798295456,172614.43110795456,173112.453125,2008388,0.0,0.0,0.0,1904.0,1.0998631037971436,183331.87109375,194119.4371875,-1
2025-04-23 00:00:00+09:00,178391.5005611188,180881.61084254144,177395.45644854972,180283.984375,3857373,0.0,0.0,0.0,1904.0,1.0561115601037425,181688.3984375,193772.4715625,-1
2025-04-24 00:00:00+09:00,182076.8545288839,182674.48096606843,176897.42540661807,177594.65625,3162156,0.0,0.0,0.0,1904.0,1.0721043302788003,180259.075,193387.55375,-1
2025-04-25 00:00:00+09:00,181778.03200413502,184168.53763049078,181379.6143997424,183670.515625,3507810,0.0,0.0,0.0,1904.0,1.0366388930313648,179517.021875,192934.1409375,-1
2025-04-28 00:00:00+09:00,182774.09744162086,183172.51509271978,178989.1297561813,181280.03125,2455710,0.0,0.0,0.0,1904.0,1.05030873332884,179083.74296875,192403.2290625,-1
